field,description,dataset,category,subcategory,region,delay,universe,type,coverage,userCount,alphaCount,pyramidMultiplier,themes
anl15_bps_gr_12_m_1m_chg,The weighted 1-month percent change of 12-month forward book value per share (BPS) estimation aggregated within GICS group grouping.,"{'id': 'analyst15', 'name': 'Earnings forecasts'}","{'id': 'analyst', 'name': 'Analyst'}","{'id': 'analyst-analyst-estimates', 'name': 'Analyst Estimates'}",USA,1,TOP3000,MATRIX,1.0,506,6381,1.2,[]
anl15_bps_gr_12_m_3m_chg,The weighted 3-month percent change of 12-month forward book value per share (BPS) estimation aggregated within GICS group grouping.,"{'id': 'analyst15', 'name': 'Earnings forecasts'}","{'id': 'analyst', 'name': 'Analyst'}","{'id': 'analyst-analyst-estimates', 'name': 'Analyst Estimates'}",USA,1,TOP3000,MATRIX,1.0,197,496,1.2,[]
anl15_bps_gr_12_m_6m_chg,The weighted 6-month percent change of 12-month forward book value per share (BPS) estimation aggregated within GICS group grouping.,"{'id': 'analyst15', 'name': 'Earnings forecasts'}","{'id': 'analyst', 'name': 'Analyst'}","{'id': 'analyst-analyst-estimates', 'name': 'Analyst Estimates'}",USA,1,TOP3000,MATRIX,1.0,210,758,1.2,[]
anl15_bps_gr_12_m_cos,The number of companies with a 12-month forward mean book value per share (BPS) estimation within GICS group grouping.,"{'id': 'analyst15', 'name': 'Earnings forecasts'}","{'id': 'analyst', 'name': 'Analyst'}","{'id': 'analyst-analyst-estimates', 'name': 'Analyst Estimates'}",USA,1,TOP3000,MATRIX,1.0,214,514,1.2,[]
anl15_bps_gr_12_m_cos_dn,The number of companies for which 12-month forward mean book value per share (BPS) estimation has been lowered from last month within GICS group grouping.,"{'id': 'analyst15', 'name': 'Earnings forecasts'}","{'id': 'analyst', 'name': 'Analyst'}","{'id': 'analyst-analyst-estimates', 'name': 'Analyst Estimates'}",USA,1,TOP3000,MATRIX,1.0,184,1116,1.2,[]
anl15_bps_gr_12_m_cos_up,The number of companies for which 12-month forward mean book value per share (BPS) estimation has been raised from last month within GICS group grouping.,"{'id': 'analyst15', 'name': 'Earnings forecasts'}","{'id': 'analyst', 'name': 'Analyst'}","{'id': 'analyst-analyst-estimates', 'name': 'Analyst Estimates'}",USA,1,TOP3000,MATRIX,1.0,170,912,1.2,[]
anl15_bps_gr_12_m_ests,The 12-month forward pro-rated total number of estimates within GICS group grouping.,"{'id': 'analyst15', 'name': 'Earnings forecasts'}","{'id': 'analyst', 'name': 'Analyst'}","{'id': 'analyst-analyst-estimates', 'name': 'Analyst Estimates'}",USA,1,TOP3000,MATRIX,1.0,147,501,1.2,[]
anl15_bps_gr_12_m_ests_dn,"Count of unique IDs of industry participants. Industry stands for an aggregate view of all  equity clearance activity for the date, symbol, and transaction type in question.","{'id': 'analyst15', 'name': 'Earnings forecasts'}","{'id': 'analyst', 'name': 'Analyst'}","{'id': 'analyst-analyst-estimates', 'name': 'Analyst Estimates'}",USA,1,TOP3000,MATRIX,1.0,186,550,1.2,[]
anl15_bps_gr_12_m_ests_up,"Count of unique IDs of industry participants. Industry stands for an aggregate view of all  equity clearance activity for the date, symbol, and transaction type in question.","{'id': 'analyst15', 'name': 'Earnings forecasts'}","{'id': 'analyst', 'name': 'Analyst'}","{'id': 'analyst-analyst-estimates', 'name': 'Analyst Estimates'}",USA,1,TOP3000,MATRIX,1.0,172,651,1.2,[]
anl15_bps_gr_12_m_gro,The weighted 12-month forward year-over-year growth of book value per share (BPS) estimation aggregated within GICS group grouping.,"{'id': 'analyst15', 'name': 'Earnings forecasts'}","{'id': 'analyst', 'name': 'Analyst'}","{'id': 'analyst-analyst-estimates', 'name': 'Analyst Estimates'}",USA,1,TOP3000,MATRIX,1.0,236,2319,1.2,[]
anl15_bps_gr_12_m_mean,The weighted average of 12-month forward book value per share (BPS) estimation aggregated within GICS group grouping.,"{'id': 'analyst15', 'name': 'Earnings forecasts'}","{'id': 'analyst', 'name': 'Analyst'}","{'id': 'analyst-analyst-estimates', 'name': 'Analyst Estimates'}",USA,1,TOP3000,MATRIX,1.0,153,361,1.2,[]
anl15_bps_gr_12_m_pe,The weighted average price/earnings ratio based on 12-month forward EPS estimation aggregated within GICS group grouping.,"{'id': 'analyst15', 'name': 'Earnings forecasts'}","{'id': 'analyst', 'name': 'Analyst'}","{'id': 'analyst-analyst-estimates', 'name': 'Analyst Estimates'}",USA,1,TOP3000,MATRIX,1.0,169,747,1.2,[]
anl15_bps_gr_12_m_st_dev,The weighted average standard deviation of 12-month forward book value per share (BPS) estimation aggregated within GICS group grouping.,"{'id': 'analyst15', 'name': 'Earnings forecasts'}","{'id': 'analyst', 'name': 'Analyst'}","{'id': 'analyst-analyst-estimates', 'name': 'Analyst Estimates'}",USA,1,TOP3000,MATRIX,1.0,120,246,1.2,[]
anl15_bps_gr_12_m_total,The total of 12-month forward book value per share (BPS) estimation aggregated within GICS group grouping.,"{'id': 'analyst15', 'name': 'Earnings forecasts'}","{'id': 'analyst', 'name': 'Analyst'}","{'id': 'analyst-analyst-estimates', 'name': 'Analyst Estimates'}",USA,1,TOP3000,MATRIX,1.0,174,761,1.2,[]
anl15_bps_gr_12_m_tr_mean,The weighted average of 12-month trailing book value per share (BPS) aggregated within GICS group grouping.,"{'id': 'analyst15', 'name': 'Earnings forecasts'}","{'id': 'analyst', 'name': 'Analyst'}","{'id': 'analyst-analyst-estimates', 'name': 'Analyst Estimates'}",USA,1,TOP3000,MATRIX,1.0,115,309,1.2,[]
anl15_bps_gr_18_m_1m_chg,The weighted 1-month percent change of 18-month forward book value per share (BPS) estimation aggregated within GICS group grouping.,"{'id': 'analyst15', 'name': 'Earnings forecasts'}","{'id': 'analyst', 'name': 'Analyst'}","{'id': 'analyst-analyst-estimates', 'name': 'Analyst Estimates'}",USA,1,TOP3000,MATRIX,1.0,99,402,1.2,[]
anl15_bps_gr_18_m_3m_chg,The weighted 3-month percent change of 18-month forward book value per share (BPS) estimation aggregated within GICS group grouping.,"{'id': 'analyst15', 'name': 'Earnings forecasts'}","{'id': 'analyst', 'name': 'Analyst'}","{'id': 'analyst-analyst-estimates', 'name': 'Analyst Estimates'}",USA,1,TOP3000,MATRIX,1.0,89,180,1.2,[]
anl15_bps_gr_18_m_6m_chg,The weighted 6-month percent change of 18-month forward book value per share (BPS) estimation aggregated within GICS group grouping.,"{'id': 'analyst15', 'name': 'Earnings forecasts'}","{'id': 'analyst', 'name': 'Analyst'}","{'id': 'analyst-analyst-estimates', 'name': 'Analyst Estimates'}",USA,1,TOP3000,MATRIX,1.0,140,472,1.2,[]
anl15_bps_gr_18_m_cos,The number of companies with an 18-month forward mean book value per share (BPS) estimation within GICS group grouping.,"{'id': 'analyst15', 'name': 'Earnings forecasts'}","{'id': 'analyst', 'name': 'Analyst'}","{'id': 'analyst-analyst-estimates', 'name': 'Analyst Estimates'}",USA,1,TOP3000,MATRIX,1.0,102,259,1.2,[]
anl15_bps_gr_18_m_cos_dn,The number of companies for which 18-month forward mean book value per share (BPS) estimation has been lowered from last month within GICS group grouping.,"{'id': 'analyst15', 'name': 'Earnings forecasts'}","{'id': 'analyst', 'name': 'Analyst'}","{'id': 'analyst-analyst-estimates', 'name': 'Analyst Estimates'}",USA,1,TOP3000,MATRIX,1.0,123,866,1.2,[]
anl15_bps_gr_18_m_cos_up,The number of companies for which 18-month forward mean book value per share (BPS) estimation has been raised from last month within GICS group grouping.,"{'id': 'analyst15', 'name': 'Earnings forecasts'}","{'id': 'analyst', 'name': 'Analyst'}","{'id': 'analyst-analyst-estimates', 'name': 'Analyst Estimates'}",USA,1,TOP3000,MATRIX,1.0,73,129,1.2,[]
anl15_bps_gr_18_m_ests,The 18-month forward pro-rated total number of estimates within GICS group grouping.,"{'id': 'analyst15', 'name': 'Earnings forecasts'}","{'id': 'analyst', 'name': 'Analyst'}","{'id': 'analyst-analyst-estimates', 'name': 'Analyst Estimates'}",USA,1,TOP3000,MATRIX,1.0,89,314,1.2,[]
anl15_bps_gr_18_m_ests_dn,"Count of unique IDs of industry participants. Industry stands for an aggregate view of all  equity clearance activity for the date, symbol, and transaction type in question.","{'id': 'analyst15', 'name': 'Earnings forecasts'}","{'id': 'analyst', 'name': 'Analyst'}","{'id': 'analyst-analyst-estimates', 'name': 'Analyst Estimates'}",USA,1,TOP3000,MATRIX,0.9989,101,493,1.2,[]
anl15_bps_gr_18_m_ests_up,"Count of unique IDs of industry participants. Industry stands for an aggregate view of all  equity clearance activity for the date, symbol, and transaction type in question.","{'id': 'analyst15', 'name': 'Earnings forecasts'}","{'id': 'analyst', 'name': 'Analyst'}","{'id': 'analyst-analyst-estimates', 'name': 'Analyst Estimates'}",USA,1,TOP3000,MATRIX,0.999,90,178,1.2,[]
